photo number,001
 ,x,y
nose,47,24
neck,70,96
shoulderR,41,82
elbowR,28,152
handR,6,186
shoulderL,105,106
elbowL,113,205
handL,53,225
ass,83,292
legR,66,289
kneeR,22,398
feetR,79,528
legL,103,297
kneeL,56,428
feetL,129,560
eyeR,41,8
eyeL,56,8
earR,-1,-1
earL,81,13
footBoardR1,86,590
footBoardR2,98,592
footBoardR3,144,573
footBoardL1,52,542
footBoardL2,53,539
footBoardL3,92,539
photo number,002
 ,x,y
nose,40,23
neck,64,91
shoulderR,35,86
elbowR,13,156
handR,6,176
shoulderL,94,103
elbowL,95,210
handL,44,210
ass,79,300
legR,61,293
kneeR,11,396
feetR,79,534
legL,98,308
kneeL,49,436
feetL,129,565
eyeR,37,8
eyeL,52,8
earR,-1,-1
earL,79,13
footBoardR1,87,590
footBoardR2,102,592
footBoardR3,144,570
footBoardL1,49,542
footBoardL2,50,534
footBoardL3,92,549
photo number,003
 ,x,y
nose,45,25
neck,68,94
shoulderR,36,86
elbowR,31,160
handR,-1,-1
shoulderL,99,106
elbowL,86,212
handL,35,185
ass,80,302
legR,60,297
kneeR,6,399
feetR,75,521
legL,102,307
kneeL,44,440
feetL,129,556
eyeR,36,10
eyeL,57,8
earR,-1,-1
earL,80,15
footBoardR1,87,583
footBoardR2,99,592
footBoardR3,144,565
footBoardL1,47,534
footBoardL2,48,528
footBoardL3,87,533
photo number,004
 ,x,y
nose,48,17
neck,74,95
shoulderR,47,90
elbowR,-1,-1
handR,-1,-1
shoulderL,99,107
elbowL,63,199
handL,22,131
ass,81,306
legR,62,299
kneeR,6,406
feetR,75,524
legL,102,310
kneeL,36,437
feetL,131,560
eyeR,41,9
eyeL,62,10
earR,-1,-1
earL,86,16
footBoardR1,86,586
footBoardR2,99,591
footBoardR3,144,565
footBoardL1,47,536
footBoardL2,48,529
footBoardL3,86,529
photo number,005
 ,x,y
nose,61,23
neck,78,94
shoulderR,55,92
elbowR,5,97
handR,21,63
shoulderL,103,97
elbowL,61,176
handL,43,115
ass,88,310
legR,70,297
kneeR,21,410
feetR,86,534
legL,103,315
kneeL,48,438
feetL,128,553
eyeR,58,9
eyeL,72,10
earR,-1,-1
earL,92,17
footBoardR1,89,588
footBoardR2,100,591
footBoardR3,145,565
footBoardL1,59,541
footBoardL2,61,534
footBoardL3,96,548
photo number,006
 ,x,y
nose,54,26
neck,74,87
shoulderR,52,77
elbowR,-1,-1
handR,-1,-1
shoulderL,96,89
elbowL,52,143
handL,40,87
ass,76,301
legR,57,290
kneeR,6,405
feetR,78,532
legL,95,306
kneeL,37,440
feetL,127,555
eyeR,41,10
eyeL,65,9
earR,-1,-1
earL,90,10
footBoardR1,88,586
footBoardR2,101,591
footBoardR3,144,558
footBoardL1,48,537
footBoardL2,49,534
footBoardL3,87,539
photo number,007
 ,x,y
nose,69,48
neck,76,111
shoulderR,46,106
elbowR,5,84
handR,25,8
shoulderL,106,121
elbowL,59,144
handL,46,87
ass,82,316
legR,62,311
kneeR,24,429
feetR,84,532
legL,99,316
kneeL,50,449
feetL,133,560
eyeR,58,38
eyeL,79,38
earR,45,46
earL,97,48
footBoardR1,92,589
footBoardR2,104,592
footBoardR3,145,565
footBoardL1,58,546
footBoardL2,59,540
footBoardL3,96,546
photo number,008
 ,x,y
nose,73,64
neck,75,120
shoulderR,47,108
elbowR,5,83
handR,32,7
shoulderL,104,123
elbowL,78,146
handL,45,123
ass,77,312
legR,61,307
kneeR,27,423
feetR,82,529
legL,98,318
kneeL,57,443
feetL,130,555
eyeR,61,46
eyeL,86,49
earR,46,53
earL,102,61
footBoardR1,93,588
footBoardR2,105,593
footBoardR3,145,561
footBoardL1,59,539
footBoardL2,59,536
footBoardL3,89,536
photo number,009
 ,x,y
nose,74,63
neck,74,112
shoulderR,45,112
elbowR,5,72
handR,30,7
shoulderL,103,117
elbowL,61,131
handL,-1,-1
ass,74,301
legR,58,298
kneeR,29,429
feetR,87,538
legL,90,302
kneeL,58,436
feetL,129,553
eyeR,63,52
eyeL,85,50
earR,50,55
earL,101,52
footBoardR1,90,591
footBoardR2,104,593
footBoardR3,145,563
footBoardL1,58,548
footBoardL2,60,544
footBoardL3,97,548
photo number,010
 ,x,y
nose,73,65
neck,77,108
shoulderR,49,107
elbowR,6,72
handR,33,7
shoulderL,105,116
elbowL,89,139
handL,91,98
ass,73,297
legR,55,295
kneeR,35,417
feetR,89,535
legL,89,299
kneeL,64,430
feetL,131,557
eyeR,64,55
eyeL,83,55
earR,51,57
earL,105,61
footBoardR1,92,593
footBoardR2,106,593
footBoardR3,144,561
footBoardL1,60,553
footBoardL2,61,545
footBoardL3,101,545
photo number,011
 ,x,y
nose,78,55
neck,82,104
shoulderR,49,99
elbowR,6,71
handR,31,7
shoulderL,110,112
