photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,92,12,52,95,89,94,128,194,144,197,18,100,14,188,-1,-1,48,295,73,297,101,430,88,573,22,295,40,442,14,566,88,8,-1,-1,65,25,-1,-1,49,570,42,567,6,583,124,588,116,592,76,592
2,87,14,52,99,85,93,133,183,145,161,20,102,20,178,-1,-1,46,294,71,294,98,425,83,572,19,293,41,446,16,557,79,8,-1,-1,62,28,-1,-1,49,567,41,559,5,576,115,586,110,592,72,589
3,87,19,52,97,82,92,136,163,145,128,28,100,-1,-1,-1,-1,45,298,71,299,99,426,79,575,20,294,48,442,16,560,78,8,-1,-1,63,25,-1,-1,47,567,41,562,5,579,117,584,110,592,69,591
4,88,19,56,97,86,95,145,146,143,94,29,102,-1,-1,-1,-1,51,306,73,306,101,427,80,576,27,306,51,447,17,559,79,8,-1,-1,63,29,-1,-1,49,563,42,560,5,576,113,579,109,590,71,592
5,87,19,53,97,77,94,145,123,134,56,30,98,73,129,-1,-1,50,305,72,305,100,439,76,576,29,305,50,456,15,568,76,8,-1,-1,61,31,-1,-1,41,568,38,563,5,585,111,585,107,592,65,590
6,87,14,57,97,80,97,145,97,132,26,38,97,83,109,98,45,53,301,74,301,103,436,78,573,32,304,52,452,17,558,80,8,-1,-1,63,26,-1,-1,47,561,42,557,5,576,111,577,107,589,67,592
7,86,18,55,94,77,94,145,76,126,8,39,91,87,83,100,21,55,301,77,301,109,436,78,574,33,301,54,454,18,559,78,11,-1,-1,64,28,-1,-1,45,571,41,561,5,577,112,587,105,592,67,589
8,86,35,56,104,73,104,145,75,117,8,41,104,89,90,98,19,52,305,74,305,107,435,77,575,34,308,51,452,17,561,78,28,-1,-1,63,41,-1,-1,44,572,41,562,5,578,110,589,103,592,65,591
9,85,37,58,113,77,111,145,75,110,8,35,113,88,91,91,23,58,309,81,306,104,437,75,570,34,309,51,440,17,554,77,30,-1,-1,61,47,-1,-1,45,570,39,565,5,565,110,583,101,592,65,583
10,85,40,59,109,81,107,145,70,110,7,36,112,85,82,87,24,59,302,82,302,99,439,78,569,36,304,46,439,18,549,79,39,-1,-1,62,54,-1,-1,42,573,36,564,5,560,109,591,101,593,67,578
11,88,41,61,109,81,106,145,64,112,7,39,110,88,72,91,17,61,297,85,297,99,432,78,564,38,297,45,432,15,551,78,35,-1,-1,62,54,-1,-1,42,572,38,570,5,561,111,588,101,593,68,570
12,86,51,58,116,81,113,145,76,118,7,34,124,67,128,-1,-1,58,296,83,296,97,431,84,556,34,296,41,424,16,535,76,45,-1,-1,60,65,-1,-1,41,572,32,571,5,550,113,593,102,593,72,567
13,81,65,54,130,81,126,144,83,129,7,31,136,86,83,100,12,54,304,80,304,94,430,84,552,32,307,33,422,15,534,72,58,-1,-1,60,81,-1,-1,31,584,22,581,6,547,104,593,108,592,80,566
14,89,79,57,140,85,138,144,81,143,6,26,145,99,85,124,18,57,312,80,309,94,439,94,559,28,312,37,430,15,541,77,79,-1,-1,61,97,-1,-1,28,594,22,591,6,556,102,591,110,582,91,576
15,77,94,50,152,77,149,112,78,144,6,19,158,107,64,142,14,47,320,73,320,84,446,90,570,24,321,24,444,11,550,69,94,-1,-1,56,113,-1,-1,24,594,17,594,6,559,71,561,76,559,92,584
16,80,86,47,152,80,140,110,66,144,6,17,153,110,64,143,15,45,316,71,315,80,443,92,571,17,316,24,440,12,546,69,86,-1,-1,54,105,-1,-1,29,594,18,592,6,561,75,562,80,561,93,587
17,86,79,52,140,83,133,118,61,144,6,21,147,117,57,141,13,50,308,73,305,87,440,98,567,21,310,25,438,16,543,73,77,-1,-1,61,96,-1,-1,33,594,22,592,6,558,74,560,79,560,102,589
18,84,68,45,137,78,130,114,77,144,6,18,141,110,63,138,23,45,305,75,305,87,441,93,561,21,305,23,432,16,541,75,68,-1,-1,59,86,-1,-1,27,594,21,594,6,552,78,561,84,561,96,579
19,88,79,50,142,80,133,136,77,144,6,18,144,104,76,141,12,50,312,74,310,88,445,97,567,23,312,27,438,17,545,76,77,-1,-1,57,94,-1,-1,27,594,23,592,6,556,74,563,76,562,104,588
20,88,68,50,131,85,128,141,74,144,7,17,138,95,81,137,16,50,306,76,303,89,441,95,569,20,307,29,437,19,543,75,66,-1,-1,58,85,-1,-1,32,593,25,592,6,558,72,566,75,564,104,587
21,84,60,52,126,82,119,144,75,134,7,20,133,86,79,122,22,50,302,76,299,84,437,86,559,21,306,35,431,14,538,73,60,-1,-1,55,77,-1,-1,35,583,26,583,6,554,95,593,98,586,86,575
22,84,56,50,120,85,107,145,73,132,7,20,124,82,87,116,22,50,305,77,303,88,438,76,567,25,305,34,433,16,550,73,53,-1,-1,59,69,-1,-1,37,576,32,574,5,562,101,590,99,593,67,574
