photo number,001
 ,x,y
nose,80,19
neck,87,106
shoulderR,52,114
elbowR,31,205
handR,4,150
shoulderL,125,97
elbowL,146,187
handL,127,257
ass,96,297
legR,76,297
kneeR,77,435
feetR,85,556
legL,116,295
kneeL,101,435
feetL,135,548
eyeR,75,6
eyeL,87,6
earR,60,10
earL,101,19
footBoardR1,107,594
footBoardR2,119,591
footBoardR3,145,553
footBoardL1,57,589
footBoardL2,57,585
footBoardL3,91,568
photo number,002
 ,x,y
nose,80,16
neck,87,108
shoulderR,50,117
elbowR,32,209
handR,4,152
shoulderL,124,100
elbowL,146,184
handL,129,250
ass,95,299
legR,75,299
kneeR,78,432
feetR,87,551
legL,115,299
kneeL,102,432
feetL,129,543
eyeR,71,6
eyeL,88,9
earR,60,16
earL,99,19
footBoardR1,108,594
footBoardR2,119,591
footBoardR3,137,549
footBoardL1,60,588
footBoardL2,60,583
footBoardL3,95,566
photo number,003
 ,x,y
nose,78,17
neck,82,109
shoulderR,44,114
elbowR,32,208
handR,4,166
shoulderL,121,98
elbowL,146,182
handL,128,246
ass,90,299
legR,70,302
kneeR,77,433
feetR,84,549
legL,110,302
kneeL,100,429
feetL,121,547
eyeR,70,6
eyeL,85,9
earR,55,17
earL,98,21
footBoardR1,108,594
footBoardR2,118,593
footBoardR3,128,553
footBoardL1,58,586
footBoardL2,57,580
footBoardL3,91,564
photo number,004
 ,x,y
nose,78,22
neck,82,109
shoulderR,44,119
elbowR,33,215
handR,4,171
shoulderL,122,103
elbowL,146,183
handL,132,247
ass,89,301
legR,69,301
kneeR,77,430
feetR,86,544
legL,114,298
kneeL,107,430
feetL,118,544
eyeR,69,6
eyeL,87,7
earR,57,21
earL,98,22
footBoardR1,107,594
footBoardR2,118,589
footBoardR3,123,550
footBoardL1,58,579
footBoardL2,58,576
footBoardL3,91,558
photo number,005
 ,x,y
nose,75,18
neck,82,108
shoulderR,42,119
elbowR,33,211
handR,4,187
shoulderL,120,101
elbowL,146,180
handL,133,242
ass,91,292
legR,67,295
kneeR,75,426
feetR,86,541
legL,115,291
kneeL,106,424
feetL,115,545
eyeR,69,6
eyeL,86,10
earR,53,18
earL,96,26
footBoardR1,105,594
footBoardR2,115,591
footBoardR3,117,558
footBoardL1,58,577
footBoardL2,56,567
footBoardL3,95,547
photo number,006
 ,x,y
nose,83,16
neck,84,107
shoulderR,49,118
elbowR,41,210
handR,3,190
shoulderL,123,103
elbowL,147,177
handL,134,239
ass,94,296
legR,73,298
kneeR,82,427
feetR,92,535
legL,117,291
kneeL,111,427
feetL,114,548
eyeR,74,6
eyeL,92,11
earR,61,17
earL,102,25
footBoardR1,110,594
footBoardR2,122,589
footBoardR3,116,555
footBoardL1,65,571
footBoardL2,63,567
footBoardL3,96,551
photo number,007
 ,x,y
nose,82,22
neck,86,108
shoulderR,52,114
elbowR,43,211
handR,3,210
shoulderL,122,100
elbowL,147,177
handL,137,237
ass,95,296
legR,72,299
kneeR,82,425
feetR,91,536
legL,118,291
kneeL,110,424
feetL,115,551
eyeR,77,6
eyeL,91,6
earR,62,20
earL,101,22
footBoardR1,109,594
footBoardR2,120,593
footBoardR3,115,559
footBoardL1,70,573
footBoardL2,68,559
footBoardL3,98,545
photo number,008
 ,x,y
nose,81,22
neck,82,108
shoulderR,41,113
elbowR,30,210
handR,4,216
shoulderL,123,97
elbowL,146,178
handL,136,233
ass,91,296
legR,69,298
kneeR,77,422
feetR,88,529
legL,115,292
kneeL,112,421
feetL,112,547
eyeR,72,6
eyeL,90,7
earR,57,17
earL,101,22
footBoardR1,111,594
footBoardR2,122,590
footBoardR3,111,557
footBoardL1,62,571
footBoardL2,60,560
footBoardL3,93,542
photo number,009
 ,x,y
nose,82,22
neck,84,110
shoulderR,46,114
elbowR,28,210
handR,4,245
shoulderL,122,103
elbowL,146,176
handL,138,233
ass,91,293
legR,68,297
kneeR,79,425
feetR,87,528
legL,119,288
kneeL,111,423
feetL,111,550
eyeR,75,6
eyeL,90,11
earR,58,19
earL,100,22
footBoardR1,109,594
footBoardR2,121,588
footBoardR3,108,564
footBoardL1,66,564
footBoardL2,62,550
footBoardL3,90,537
photo number,010
 ,x,y
nose,82,22
neck,82,111
shoulderR,42,115
elbowR,26,207
handR,4,265
shoulderL,124,97
elbowL,146,172
handL,135,233
ass,93,295
legR,70,297
kneeR,76,425
feetR,82,525
legL,115,295
kneeL,112,423
feetL,105,555
eyeR,71,6
eyeL,90,6
earR,59,17
earL,101,22
footBoardR1,105,594
footBoardR2,118,591
footBoardR3,102,568
footBoardL1,61,566
footBoardL2,59,552
footBoardL3,90,534
photo number,011
 ,x,y
nose,83,21
neck,83,107
shoulderR,42,118
elbowR,24,206
handR,4,291
shoulderL,124,103
elbowL,146,175
handL,136,228
ass,92,291
