user_id,type,photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
024,dribble,1,59,26,59,86,16,102,5,201,20,259,101,75,126,152,132,212,76,279,49,285,53,431,67,556,101,277,114,418,123,543,49,11,68,11,35,8,79,8,134,590,145,581,116,555,38,592,38,581,76,564
024,dribble,2,57,26,56,89,12,102,5,210,16,298,100,74,127,154,127,210,71,282,45,293,52,430,63,556,101,277,115,416,120,551,47,11,67,11,28,8,75,8,135,592,145,587,115,561,35,592,33,585,71,569
024,dribble,3,57,31,56,88,8,106,6,212,8,315,103,68,133,152,130,209,73,280,43,292,50,432,65,554,106,276,119,416,120,546,45,16,66,15,22,8,78,8,133,592,144,580,112,559,33,587,31,577,74,564
024,dribble,4,60,29,61,86,15,105,11,218,6,327,106,66,139,146,131,201,77,280,48,288,57,427,68,545,112,272,120,411,120,545,48,18,68,13,25,10,77,8,132,592,144,581,113,558,58,574,48,569,77,556
024,dribble,5,62,35,63,90,16,108,10,219,6,326,111,73,140,148,132,203,80,279,47,285,58,427,64,537,116,274,120,411,119,552,50,21,70,19,25,16,80,8,132,592,144,585,104,558,63,569,50,560,75,553
024,dribble,6,68,27,69,90,20,108,12,221,6,324,114,71,143,145,132,200,84,279,55,287,58,419,69,539,118,273,121,413,113,547,53,19,73,13,32,18,84,8,135,592,144,581,105,558,43,574,39,561,81,550
024,dribble,7,68,34,73,94,22,112,10,223,6,319,120,75,144,151,128,207,85,291,57,296,60,434,68,541,115,285,121,428,113,556,53,20,74,16,35,20,88,8,132,592,140,589,105,572,40,579,35,572,76,556
024,dribble,8,69,26,71,95,22,110,14,213,6,312,119,74,144,154,130,208,84,284,58,293,58,422,66,536,117,280,119,427,112,556,57,13,73,8,34,13,86,8,131,592,138,585,106,569,39,579,34,569,73,549
024,dribble,9,68,29,73,90,29,106,23,205,5,298,119,73,145,157,126,212,82,287,57,293,57,427,63,527,113,284,116,429,108,553,59,13,78,13,41,13,89,8,126,592,130,580,100,569,42,574,35,566,71,536
024,dribble,10,69,29,71,95,28,103,24,193,5,281,117,80,145,155,125,221,82,294,52,296,50,423,59,525,109,291,115,430,105,559,56,13,73,11,39,15,85,8,119,592,127,582,95,571,39,579,32,566,69,530
024,dribble,11,64,28,72,94,29,99,25,183,5,246,114,81,145,162,123,219,77,295,50,297,43,433,52,516,105,294,113,436,101,556,53,18,72,10,42,21,84,8,116,592,123,581,92,572,39,574,29,563,61,519
024,dribble,12,66,28,72,90,30,95,29,171,5,223,113,83,145,157,122,218,75,297,48,297,44,439,51,510,101,297,110,437,100,559,57,13,72,10,39,13,83,8,112,592,120,584,90,574,39,574,30,564,59,512
024,dribble,13,65,29,73,89,33,89,33,165,5,198,112,88,145,162,119,221,73,298,45,297,43,444,50,516,99,298,106,438,96,551,55,13,72,13,42,16,83,8,106,592,115,587,89,564,43,584,35,576,57,517
024,dribble,14,66,30,75,93,36,93,36,165,4,194,114,93,146,168,116,222,73,298,47,293,45,446,54,530,97,301,105,437,97,547,57,19,74,13,44,19,85,8,107,592,116,587,89,554,48,592,39,587,60,531
024,dribble,15,67,26,75,93,37,89,35,162,4,177,114,94,146,167,116,217,73,287,46,287,46,427,55,531,96,290,103,424,98,531,57,15,75,8,46,22,87,9,107,580,116,569,90,534,53,592,44,585,64,531
024,dribble,16,67,24,75,90,38,88,36,159,4,166,114,90,146,166,114,215,70,281,46,277,46,417,57,533,96,286,101,413,97,519,58,12,75,7,47,18,88,10,106,566,116,560,93,530,53,593,45,584,66,540
024,dribble,17,72,24,76,88,42,82,36,157,4,162,114,91,146,165,114,213,72,275,47,268,47,407,61,541,96,276,103,406,103,513,64,9,79,7,52,12,93,12,106,559,116,550,96,525,53,593,45,585,68,550
024,dribble,18,72,23,76,91,37,87,31,159,4,159,115,91,146,166,108,213,71,279,47,278,47,415,58,552,96,279,99,403,104,506,65,7,78,7,50,12,94,14,107,552,117,541,97,518,53,593,46,588,67,558
024,dribble,19,80,23,81,91,46,88,36,163,4,163,119,91,146,171,112,218,80,277,54,277,58,413,67,553,100,277,106,398,110,498,72,7,88,7,61,16,99,18,111,533,122,532,107,507,60,593,53,584,73,566
024,dribble,20,85,22,85,89,51,89,36,174,4,169,121,89,146,174,115,225,84,287,61,283,65,422,75,558,104,289,109,405,114,498,78,7,94,11,67,16,102,17,117,538,125,530,112,504,66,593,59,591,82,570
024,dribble,21,87,22,87,94,49,94,31,186,4,179,124,94,146,177,116,234,83,292,61,292,62,433,73,556,108,292,109,415,117,487,80,7,92,9,65,9,105,17,117,535,127,524,116,491,63,593,58,590,81,568
024,dribble,22,85,25,80,100,38,101,22,205,4,242,123,97,146,185,119,244,81,298,56,296,56,439,68,556,108,298,108,439,119,486,77,7,92,9,58,12,102,23,119,533,129,524,119,484,56,593,51,587,78,568
024,dribble,23,87,24,83,103,40,108,25,221,4,192,126,99,146,187,125,254,81,298,55,301,55,436,70,556,107,302,107,451,117,482,78,7,96,10,63,10,105,15,123,529,131,522,118,476,56,593,52,582,78,562
024,dribble,24,74,25,68,103,15,113,5,226,14,295,121,98,145,179,121,253,67,313,36,313,32,447,48,557,97,313,94,456,109,497,64,7,86,10,44,7,97,21,112,542,123,536,111,490,36,593,29,588,61,567
