photo number,001
 ,x,y
nose,115,27
neck,103,117
shoulderR,69,109
elbowR,39,163
handR,20,217
shoulderL,141,121
elbowL,144,207
handL,115,234
ass,83,303
legR,61,295
kneeR,63,431
feetR,22,460
legL,104,307
kneeL,93,449
feetL,57,550
eyeR,104,15
eyeL,121,10
earR,89,44
earL,-1,-1
footBoardR1,79,590
footBoardR2,80,583
footBoardR3,47,554
footBoardL1,15,529
footBoardL2,6,516
footBoardL3,16,447
photo number,002
 ,x,y
nose,107,25
neck,97,117
shoulderR,58,107
elbowR,27,160
handR,6,210
shoulderL,136,121
elbowL,144,212
handL,109,228
ass,80,296
legR,58,290
kneeR,69,425
feetR,25,491
legL,103,304
kneeL,86,442
feetL,41,534
eyeR,97,16
eyeL,113,10
earR,80,43
earL,-1,-1
footBoardR1,54,590
footBoardR2,58,586
footBoardR3,34,536
footBoardL1,22,555
footBoardL2,12,551
footBoardL3,15,483
photo number,003
 ,x,y
nose,106,18
neck,95,108
shoulderR,57,102
elbowR,28,148
handR,6,195
shoulderL,137,112
elbowL,144,203
handL,106,218
ass,83,291
legR,61,287
kneeR,77,411
feetR,40,549
legL,105,293
kneeL,84,425
feetL,35,529
eyeR,95,12
eyeL,111,10
earR,76,37
earL,-1,-1
footBoardR1,28,578
footBoardR2,30,578
footBoardR3,18,535
footBoardL1,44,590
footBoardL2,34,586
footBoardL3,33,559
photo number,004
 ,x,y
nose,101,19
neck,90,107
shoulderR,54,99
elbowR,22,150
handR,6,185
shoulderL,132,113
elbowL,144,206
handL,101,208
ass,84,282
legR,62,281
kneeR,84,401
feetR,62,544
legL,104,284
kneeL,73,413
feetL,24,524
eyeR,90,14
eyeL,107,10
earR,73,37
earL,-1,-1
footBoardR1,18,579
footBoardR2,29,577
footBoardR3,13,520
footBoardL1,72,590
footBoardL2,57,584
footBoardL3,56,551
photo number,005
 ,x,y
nose,103,17
neck,91,104
shoulderR,45,103
elbowR,16,148
handR,6,182
shoulderL,131,106
elbowL,144,199
handL,103,205
ass,83,281
legR,59,275
kneeR,84,401
feetR,82,553
legL,106,289
kneeL,69,404
feetL,19,503
eyeR,91,13
eyeL,105,9
earR,68,36
earL,-1,-1
footBoardR1,8,568
footBoardR2,9,566
footBoardR3,10,501
footBoardL1,100,591
footBoardL2,87,591
footBoardL3,81,566
photo number,006
 ,x,y
nose,95,19
neck,83,106
shoulderR,41,106
elbowR,6,158
handR,6,197
shoulderL,128,106
elbowL,144,197
handL,94,214
ass,86,288
legR,63,284
kneeR,83,412
feetR,97,567
legL,109,290
kneeL,69,409
feetL,18,485
eyeR,83,15
eyeL,101,9
earR,64,37
earL,-1,-1
footBoardR1,6,542
footBoardR2,10,541
footBoardR3,8,479
footBoardL1,123,585
footBoardL2,113,591
footBoardL3,92,580
photo number,007
 ,x,y
nose,94,15
neck,83,101
shoulderR,41,103
elbowR,6,160
handR,8,204
shoulderL,125,101
elbowL,144,191
handL,95,210
ass,84,285
legR,61,285
kneeR,83,414
feetR,108,571
legL,108,287
kneeL,81,414
feetL,28,453
eyeR,81,9
eyeL,95,9
earR,61,31
earL,-1,-1
footBoardR1,14,519
footBoardR2,20,517
footBoardR3,15,445
footBoardL1,135,563
footBoardL2,131,572
footBoardL3,108,591
photo number,008
 ,x,y
nose,91,14
neck,79,105
shoulderR,39,108
elbowR,6,177
handR,14,215
shoulderL,127,105
elbowL,144,197
handL,100,215
ass,88,291
legR,63,293
kneeR,88,425
feetR,115,571
legL,110,291
kneeL,101,421
feetL,38,441
eyeR,79,9
eyeL,93,9
earR,61,38
earL,-1,-1
footBoardR1,28,502
footBoardR2,38,497
footBoardR3,25,427
footBoardL1,131,569
footBoardL2,131,575
footBoardL3,116,591
photo number,009
 ,x,y
nose,91,16
neck,83,108
shoulderR,39,110
elbowR,7,181
handR,16,214
shoulderL,128,104
elbowL,143,191
handL,107,214
ass,86,283
legR,59,283
kneeR,87,409
feetR,112,572
legL,112,283
kneeL,112,423
feetL,52,430
eyeR,78,10
eyeL,97,9
earR,57,40
earL,-1,-1
footBoardR1,53,489
footBoardR2,57,482
footBoardR3,39,421
footBoardL1,134,570
footBoardL2,128,577
footBoardL3,108,591
photo number,010
 ,x,y
nose,91,20
neck,81,109
shoulderR,35,114
elbowR,7,190
handR,25,223
shoulderL,124,109
elbowL,143,192
handL,111,211
ass,85,280
legR,57,282
kneeR,85,399
feetR,103,556
legL,110,279
kneeL,123,416
feetL,68,435
eyeR,78,15
eyeL,93,8
earR,56,39
earL,-1,-1
footBoardR1,72,481
footBoardR2,74,471
footBoardR3,55,432
footBoardL1,125,588
footBoardL2,111,592
footBoardL3,97,571
photo number,011
 ,x,y
nose,85,19
neck,77,119
shoulderR,34,120
elbowR,7,206
handR,35,232
shoulderL,119,115
