user_id,type,photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
019,layup,1,143,26,105,85,84,81,42,149,55,206,128,87,116,164,127,208,86,287,65,287,82,444,15,501,104,289,109,432,73,570,135,10,145,10,111,12,-1,-1,106,590,104,586,62,588,19,570,10,566,5,491
019,layup,2,141,28,100,87,72,83,24,148,43,189,126,89,123,174,127,207,76,286,55,286,88,432,17,503,94,286,99,438,48,562,133,12,144,10,105,18,-1,-1,88,590,83,578,38,578,26,572,16,562,6,499
019,layup,3,141,21,98,86,67,78,14,144,34,175,131,94,131,173,136,193,69,284,47,284,93,419,29,536,90,286,88,419,19,559,131,16,144,10,104,18,-1,-1,67,588,64,577,6,575,70,588,58,590,14,549
019,layup,4,141,23,100,85,74,81,19,146,43,175,132,96,139,175,141,194,70,287,52,283,105,404,57,537,86,288,76,421,19,556,132,10,144,10,105,21,-1,-1,51,590,50,588,6,569,87,587,76,587,50,538
019,layup,5,135,19,103,84,75,75,27,142,51,170,133,90,145,166,144,181,73,275,58,273,107,389,84,538,89,280,69,422,16,550,124,11,135,9,102,17,-1,-1,44,591,41,587,5,555,116,576,105,581,74,553
019,layup,6,132,24,104,84,76,82,34,142,54,175,132,91,145,175,140,175,77,273,63,271,113,384,105,549,93,280,61,420,16,538,123,9,134,9,101,24,-1,-1,38,591,36,585,5,545,136,569,128,575,99,565
019,layup,7,123,18,102,83,75,78,35,144,54,174,125,85,144,160,136,167,77,273,65,268,108,391,115,549,92,275,55,407,16,524,115,11,125,9,94,20,-1,-1,26,591,23,582,5,529,145,559,141,563,112,566
019,layup,8,112,18,93,83,69,83,36,146,52,180,117,83,135,159,125,159,76,272,66,268,102,404,118,554,86,277,49,408,13,517,104,12,112,9,85,21,-1,-1,18,591,17,586,4,522,146,554,142,566,117,579
019,layup,9,108,25,91,91,69,93,37,156,54,196,113,86,133,161,127,168,78,284,65,284,102,416,121,567,88,286,50,416,12,516,102,18,109,9,85,30,-1,-1,13,591,13,584,4,518,146,563,143,567,120,588
019,layup,10,105,23,90,89,69,94,40,162,55,212,111,87,133,157,125,162,78,285,69,283,101,421,121,570,89,287,55,405,13,501,99,12,104,9,82,30,-1,-1,13,574,13,570,4,503,146,560,141,570,118,591
019,layup,11,106,20,94,93,73,100,44,169,61,217,114,83,131,141,134,158,82,280,74,280,105,419,122,571,92,280,62,403,12,486,100,12,106,8,83,32,-1,-1,10,553,13,551,4,483,146,554,145,568,121,592
019,layup,12,107,18,94,89,75,102,48,174,66,224,115,82,128,142,134,162,86,282,76,282,107,413,122,570,97,282,67,406,13,471,100,13,107,8,84,33,-1,-1,10,538,13,533,4,466,146,565,140,573,118,592
019,layup,13,106,15,94,92,73,100,47,172,68,228,112,80,125,151,137,184,88,275,78,275,110,410,118,562,97,275,71,398,13,452,98,10,105,8,83,33,-1,-1,14,520,15,508,4,449,146,590,139,592,112,575
019,layup,14,110,21,98,102,79,112,48,193,73,251,116,91,125,164,146,210,89,284,80,284,115,412,113,562,99,284,80,421,14,461,103,13,107,8,87,40,-1,-1,20,517,22,511,4,450,142,585,134,592,105,577
019,layup,15,109,12,93,111,73,121,45,205,80,261,115,92,120,175,145,240,83,284,72,284,112,413,97,560,93,282,89,427,15,464,100,10,105,8,81,40,-1,-1,27,521,28,516,5,457,130,588,120,592,88,571
019,layup,16,118,18,104,118,78,133,47,224,91,279,128,99,118,207,144,267,84,297,68,297,118,427,82,560,103,297,104,427,21,479,106,15,115,8,89,44,-1,-1,43,534,42,523,6,477,122,590,111,592,73,573
019,layup,17,122,14,101,113,70,130,43,228,110,281,133,95,126,205,142,269,78,282,54,282,112,429,55,563,104,281,141,424,28,494,107,12,116,8,80,44,-1,-1,54,529,54,522,8,494,110,590,92,592,40,570
019,layup,18,113,15,96,119,65,139,46,242,116,277,127,99,113,204,-1,-1,68,286,45,287,82,433,23,560,94,286,142,413,63,521,96,12,107,8,71,45,-1,-1,110,560,108,550,51,528,71,585,56,592,8,567
