photo number,001
 ,x,y
nose,57,42
neck,81,96
shoulderR,46,94
elbowR,6,76
handR,23,7
shoulderL,114,96
elbowL,101,146
handL,86,79
ass,72,302
legR,46,298
kneeR,17,426
feetR,60,520
legL,99,305
kneeL,74,434
feetL,129,554
eyeR,62,34
eyeL,78,38
earR,47,32
earL,96,38
footBoardR1,96,590
footBoardR2,111,593
footBoardR3,144,569
footBoardL1,18,549
footBoardL2,20,538
footBoardL3,74,531
photo number,002
 ,x,y
nose,53,50
neck,74,108
shoulderR,41,106
elbowR,6,77
handR,24,7
shoulderL,112,104
elbowL,99,144
handL,83,70
ass,69,296
legR,41,293
kneeR,14,424
feetR,55,526
legL,91,303
kneeL,72,440
feetL,130,562
eyeR,53,31
eyeL,67,36
earR,-1,-1
earL,89,40
footBoardR1,88,589
footBoardR2,106,593
footBoardR3,144,573
footBoardL1,14,549
footBoardL2,14,543
footBoardL3,71,535
photo number,003
 ,x,y
nose,61,51
neck,78,107
shoulderR,44,104
elbowR,6,70
handR,23,7
shoulderL,118,100
elbowL,95,130
handL,89,61
ass,67,288
legR,44,287
kneeR,20,425
feetR,61,527
legL,94,291
kneeL,81,436
feetL,132,557
eyeR,60,38
eyeL,73,38
earR,49,46
earL,94,48
footBoardR1,92,587
footBoardR2,109,593
footBoardR3,144,566
footBoardL1,17,550
footBoardL2,17,547
footBoardL3,77,531
photo number,004
 ,x,y
nose,69,61
neck,81,119
shoulderR,44,118
elbowR,6,75
handR,27,6
shoulderL,115,118
elbowL,96,125
handL,83,24
ass,65,296
legR,37,294
kneeR,23,425
feetR,58,528
legL,90,300
kneeL,88,431
feetL,128,556
eyeR,63,52
eyeL,81,55
earR,50,61
earL,98,61
footBoardR1,98,594
footBoardR2,113,594
footBoardR3,144,562
footBoardL1,15,558
footBoardL2,17,546
footBoardL3,70,540
photo number,005
 ,x,y
nose,58,78
neck,74,132
shoulderR,36,127
elbowR,6,78
handR,25,6
shoulderL,107,135
elbowL,93,108
handL,76,13
ass,60,301
legR,31,296
kneeR,25,422
feetR,55,527
legL,85,303
kneeL,93,424
feetL,129,558
eyeR,57,65
eyeL,71,69
earR,-1,-1
earL,93,78
footBoardR1,93,594
footBoardR2,110,594
footBoardR3,144,566
footBoardL1,10,560
footBoardL2,10,547
footBoardL3,69,532
photo number,006
 ,x,y
nose,72,95
neck,72,149
shoulderR,34,140
elbowR,8,85
handR,25,6
shoulderL,103,153
elbowL,93,102
handL,78,31
ass,58,302
legR,30,301
kneeR,28,425
feetR,52,541
legL,83,304
kneeL,95,425
feetL,132,573
eyeR,62,89
eyeL,78,91
earR,48,95
earL,93,104
footBoardR1,96,591
footBoardR2,116,594
footBoardR3,144,582
footBoardL1,8,569
footBoardL2,6,560
footBoardL3,66,547
photo number,007
 ,x,y
nose,76,94
neck,71,150
shoulderR,34,147
elbowR,15,86
handR,28,6
shoulderL,107,154
elbowL,95,99
handL,76,24
ass,56,302
legR,24,300
kneeR,32,419
feetR,55,528
legL,89,302
kneeL,102,423
feetL,128,550
eyeR,62,88
eyeL,89,88
earR,43,102
earL,107,107
footBoardR1,94,594
footBoardR2,119,590
footBoardR3,144,560
footBoardL1,6,560
footBoardL2,6,550
footBoardL3,65,534
photo number,008
 ,x,y
nose,75,104
neck,72,159
shoulderR,34,156
elbowR,22,90
handR,32,6
shoulderL,107,162
elbowL,97,101
handL,78,14
ass,56,309
legR,24,306
kneeR,32,426
feetR,53,540
legL,88,311
kneeL,103,426
feetL,128,557
eyeR,65,98
eyeL,90,98
earR,44,113
earL,107,115
footBoardR1,103,594
footBoardR2,125,592
footBoardR3,144,568
footBoardL1,6,570
footBoardL2,6,559
footBoardL3,66,545
photo number,009
 ,x,y
nose,76,100
neck,74,153
shoulderR,37,153
elbowR,24,86
handR,28,6
shoulderL,108,154
elbowL,100,89
handL,83,10
ass,56,306
legR,24,304
kneeR,34,427
feetR,55,535
legL,83,306
kneeL,104,427
feetL,128,559
eyeR,67,89
eyeL,92,89
earR,46,104
earL,107,105
footBoardR1,102,594
footBoardR2,122,594
footBoardR3,144,564
footBoardL1,9,564
footBoardL2,6,554
footBoardL3,67,548
photo number,010
 ,x,y
nose,75,102
neck,72,158
shoulderR,34,157
elbowR,25,83
handR,25,6
shoulderL,107,158
elbowL,93,81
handL,88,19
ass,56,312
legR,24,311
kneeR,37,429
feetR,56,534
legL,86,314
kneeL,106,431
feetL,131,561
eyeR,62,98
eyeL,86,97
earR,50,113
earL,94,113
footBoardR1,100,594
footBoardR2,122,594
footBoardR3,144,568
footBoardL1,9,562
footBoardL2,6,553
footBoardL3,69,546
photo number,011
 ,x,y
nose,76,102
neck,71,156
shoulderR,37,154
elbowR,24,87
handR,24,6
shoulderL,105,161
elbowL,92,78
handL,89,21
ass,55,313
