user_id,type,photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
185,shooting,1,100,19,60,80,83,80,110,187,128,247,29,80,49,173,-1,-1,35,280,65,280,103,410,96,570,7,280,43,426,21,554,83,8,103,8,56,24,-1,-1,65,559,62,554,11,573,143,587,132,592,82,587
185,shooting,2,100,19,59,80,89,80,120,185,140,237,29,79,-1,-1,-1,-1,36,278,64,283,109,413,93,572,7,278,44,421,24,550,86,9,106,8,56,25,-1,-1,63,559,60,554,10,567,143,581,134,592,83,583
185,shooting,3,95,18,53,84,82,84,124,189,143,229,23,84,51,183,99,220,38,282,67,283,104,411,87,573,10,283,51,425,22,557,82,11,97,8,52,27,-1,-1,64,562,55,557,7,576,134,587,127,592,78,587
185,shooting,4,80,24,45,83,72,81,118,179,144,199,18,88,45,190,115,206,35,286,57,286,93,416,78,566,10,287,49,428,15,554,67,10,87,8,44,26,-1,-1,50,559,48,549,6,570,120,581,110,592,66,581
185,shooting,5,78,19,44,86,67,84,113,160,144,170,19,87,62,175,122,176,34,289,56,289,95,419,71,573,10,293,45,433,15,555,64,15,80,8,39,29,-1,-1,48,558,45,556,6,569,111,587,105,592,61,582
185,shooting,6,75,23,44,89,69,89,128,158,144,125,18,93,-1,-1,-1,-1,35,296,60,296,95,421,71,572,12,298,47,436,15,553,64,15,79,8,40,24,-1,-1,47,558,44,553,6,567,109,580,104,592,60,585
185,shooting,7,78,21,51,92,73,86,139,132,145,79,28,92,70,157,115,114,41,302,64,302,103,424,73,572,18,302,51,443,17,557,65,10,82,8,43,25,-1,-1,51,559,47,555,5,575,112,584,104,592,62,587
185,shooting,8,80,22,47,93,69,90,144,113,143,57,25,93,91,118,118,68,44,302,66,302,103,442,73,573,20,306,49,460,18,562,67,12,82,8,42,27,-1,-1,52,567,45,557,6,580,113,588,106,592,61,588
185,shooting,9,78,21,47,86,70,84,144,91,131,20,23,91,63,104,-1,-1,47,299,70,296,106,428,73,570,23,299,51,446,19,554,67,8,80,8,43,26,-1,-1,50,562,47,557,6,574,110,587,103,592,63,577
185,shooting,10,76,28,47,89,60,89,144,80,127,8,32,89,97,91,101,26,50,299,73,299,105,431,74,572,32,304,53,441,19,551,66,13,80,13,45,31,-1,-1,50,563,47,558,6,566,114,582,103,592,63,580
185,shooting,11,79,39,47,98,62,96,144,79,116,8,31,98,80,113,102,22,55,300,73,298,104,429,73,569,31,300,50,443,19,541,69,26,79,25,44,44,-1,-1,48,560,47,555,6,558,115,588,102,592,63,575
185,shooting,12,73,40,46,96,62,93,144,73,113,8,25,96,85,76,97,14,51,292,73,292,98,426,75,563,29,294,46,432,20,541,62,29,75,27,38,44,-1,-1,48,562,43,559,6,553,113,585,102,592,62,576
185,shooting,13,74,51,42,107,62,107,144,75,113,7,20,110,72,113,-1,-1,48,290,74,290,93,425,78,557,24,293,41,426,20,533,62,42,74,39,37,58,-1,-1,48,567,44,565,6,549,114,588,102,593,67,567
185,shooting,14,69,56,37,109,60,109,144,71,127,7,18,109,93,71,100,18,47,286,69,286,86,414,86,548,20,286,33,416,17,532,55,52,69,47,36,63,-1,-1,37,573,33,571,6,543,111,593,-1,-1,80,560
185,shooting,15,66,77,38,132,66,132,144,85,133,7,18,135,83,98,111,18,42,302,69,302,85,426,95,561,18,303,28,426,17,538,52,69,69,66,32,85,-1,-1,37,593,31,589,6,550,-1,-1,-1,-1,95,574
185,shooting,16,70,94,38,146,70,140,137,88,143,7,7,149,88,88,119,34,39,311,67,308,84,438,99,569,15,314,20,439,15,544,52,89,67,85,31,105,-1,-1,32,593,21,592,9,558,74,561,83,561,102,583
185,shooting,17,64,94,34,146,69,136,111,65,144,7,6,151,38,133,-1,-1,32,312,60,312,76,434,94,569,8,312,17,434,10,540,51,90,62,83,25,104,-1,-1,28,593,22,593,10,556,76,558,81,558,94,587
185,shooting,18,67,88,44,140,78,133,111,64,143,7,7,146,35,125,-1,-1,35,311,64,311,82,438,100,569,11,311,15,435,13,542,54,88,64,81,28,103,-1,-1,31,593,27,593,11,558,75,561,82,561,103,588
185,shooting,19,65,80,41,138,73,128,113,71,143,7,7,144,93,70,115,29,37,303,61,303,78,439,96,567,8,306,19,435,11,543,54,78,62,74,25,98,-1,-1,32,593,25,593,8,559,76,563,78,562,102,587
185,shooting,20,66,82,41,140,70,136,128,72,144,7,9,142,89,77,112,37,42,311,66,308,80,438,96,565,16,311,22,431,16,545,53,78,66,75,31,102,-1,-1,38,593,32,590,6,556,68,565,76,562,100,582
185,shooting,21,65,76,37,131,68,128,127,72,144,7,6,139,80,87,109,33,40,305,66,304,82,437,96,567,18,309,24,435,18,544,50,75,65,65,29,92,-1,-1,35,593,31,593,12,559,76,563,80,563,100,587
185,shooting,22,65,74,36,128,67,125,132,74,144,7,6,132,77,89,109,27,42,306,67,301,82,436,96,569,17,310,25,428,17,541,52,70,65,60,29,85,-1,-1,36,593,30,593,7,557,74,562,80,561,97,587
185,shooting,23,69,59,37,120,69,113,138,73,144,7,6,127,66,91,109,25,41,307,69,304,84,440,96,567,18,308,31,431,19,553,59,58,66,51,32,76,-1,-1,34,593,28,593,9,570,76,574,80,571,97,582
185,shooting,24,69,60,43,114,69,114,136,77,145,7,15,119,69,81,108,26,48,310,71,306,88,440,89,576,24,314,35,437,18,561,62,51,69,47,38,67,-1,-1,43,593,39,593,5,576,71,586,78,583,92,593
